HYPERPARAMETERS OF EACH ITERATION:
|   iter    |  target   | baggin... | baggin... | featur... | lambda_l1 | lambda_l2 | min_ch... | num_le... |
|  41       |  0.9934   |  0.934    |  3.028    |  0.6253   |  0.9398   |  5.783    |  8.415    |  120.3    |
|  42       |  0.9941   |  0.7256   |  2.719    |  0.7545   |  0.305    |  0.3735   |  83.15    |  93.49    |
|  43       |  0.9939   |  0.4762   |  4.133    |  0.862    |  2.158    |  6.229    |  13.11    |  15.13    |
|  44       |  0.9939   |  0.7188   |  4.244    |  0.7825   |  7.261    |  9.759    |  54.05    |  84.03    |
|  45       |  0.9934   |  0.8771   |  2.625    |  0.6634   |  0.7846   |  0.2535   |  96.45    |  214.3    |
|  46       |  0.9933   |  0.8176   |  3.454    |  0.504    |  1.564    |  2.502    |  57.18    |  183.5    |
|  47       |  0.9939   |  0.7961   |  2.68     |  0.9729   |  7.379    |  5.544    |  63.11    |  108.6    |
|  48       |  0.9941   |  0.5486   |  3.136    |  0.8547   |  0.1439   |  1.161    |  9.37     |  12.35    |
|  49       |  0.9934   |  0.9133   |  5.222    |  0.6845   |  0.9783   |  4.916    |  49.98    |  45.99    |
|  50       |  0.994    |  0.6603   |  3.391    |  0.7695   |  6.351    |  0.453    |  40.59    |  161.0    |
|  51       |  0.9929   |  0.4562   |  3.368    |  0.6869   |  6.721    |  6.54     |  91.1     |  215.0    |
|  52       |  0.9937   |  0.4386   |  1.654    |  0.9378   |  8.499    |  7.519    |  31.5     |  128.4    |
|  53       |  0.9939   |  0.6554   |  3.045    |  0.9429   |  4.725    |  9.426    |  33.24    |  174.8    |
|  54       |  0.994    |  0.9991   |  1.307    |  0.8695   |  7.423    |  7.924    |  38.18    |  120.0    |
|  55       |  0.9936   |  0.7336   |  6.422    |  0.7971   |  2.305    |  9.661    |  42.63    |  9.026    |
|  56       |  0.994    |  0.8855   |  2.156    |  0.9105   |  6.51     |  6.631    |  9.864    |  108.4    |
|  57       |  0.9939   |  0.8258   |  4.789    |  0.8811   |  6.739    |  8.448    |  25.48    |  245.8    |
|  58       |  0.9937   |  0.4715   |  6.702    |  0.981    |  9.533    |  9.249    |  27.46    |  109.0    |
|  59       |  0.994    |  0.9858   |  5.199    |  0.9417   |  4.447    |  4.08     |  27.84    |  47.48    |
|  60       |  0.9931   |  0.657    |  2.964    |  0.7105   |  9.814    |  0.1684   |  89.61    |  133.9    |
|  61       |  0.9932   |  0.4039   |  3.898    |  0.5745   |  5.863    |  5.109    |  20.17    |  247.5    |
|  62       |  0.9941   |  0.8666   |  5.286    |  0.7591   |  0.26     |  4.421    |  59.09    |  173.6    |
|  63       |  0.9889   |  0.6024   |  6.795    |  0.4568   |  4.716    |  9.729    |  60.35    |  200.8    |
|  64       |  0.9939   |  0.7695   |  2.554    |  0.9049   |  5.583    |  8.138    |  50.04    |  32.92    |
|  65       |  0.9939   |  0.5231   |  5.007    |  0.8048   |  3.034    |  2.934    |  10.86    |  11.99    |
|  66       |  0.9941   |  0.8584   |  2.929    |  0.8459   |  3.889    |  1.406    |  29.92    |  47.54    |
|  67       |  0.994    |  0.4777   |  4.732    |  0.9611   |  3.966    |  0.8324   |  28.58    |  42.75    |
|  68       |  0.9934   |  0.7785   |  3.258    |  0.6247   |  2.351    |  5.228    |  29.48    |  44.43    |
|  69       |  0.9938   |  0.4937   |  3.843    |  0.8744   |  9.004    |  0.9557   |  28.82    |  44.41    |
|  70       |  0.9932   |  0.5249   |  6.455    |  0.6359   |  5.976    |  1.449    |  33.77    |  46.58    |
|  71       |  0.9933   |  0.7073   |  2.52     |  0.5674   |  2.171    |  1.059    |  12.82    |  17.77    |
|  72       |  0.994    |  0.8522   |  1.326    |  0.9959   |  4.384    |  3.381    |  79.57    |  94.18    |
|  73       |  0.9931   |  0.5364   |  2.271    |  0.6477   |  4.521    |  1.759    |  85.92    |  95.82    |
|  74       |  0.9941   |  0.5739   |  2.783    |  0.7874   |  0.9348   |  0.5345   |  77.59    |  92.41    |
|  75       |  0.994    |  0.4554   |  6.64     |  0.889    |  0.6374   |  2.726    |  78.38    |  96.51    |
|  76       |  0.9932   |  0.5563   |  5.396    |  0.531    |  3.677    |  5.0      |  73.66    |  91.55    |
|  77       |  0.994    |  0.5812   |  4.768    |  0.9476   |  4.21     |  3.932    |  30.72    |  171.2    |
|  78       |  0.9934   |  0.7012   |  3.865    |  0.6366   |  0.9396   |  7.832    |  32.3     |  166.7    |
|  79       |  0.9939   |  0.5078   |  3.105    |  0.9254   |  6.78     |  7.14     |  12.57    |  101.6    |
|  80       |  0.9934   |  0.898    |  4.035    |  0.6977   |  0.9206   |  7.715    |  25.73    |  173.6    |
|  81       |  0.9933   |  0.7717   |  1.048    |  0.5002   |  2.094    |  7.612    |  68.89    |  207.4    |
|  82       |  0.994    |  0.4853   |  1.981    |  0.9629   |  3.242    |  0.1142   |  75.88    |  101.4    |
|  83       |  0.9932   |  0.7035   |  4.938    |  0.6113   |  7.542    |  4.368    |  27.22    |  103.0    |
|  84       |  0.9932   |  0.9526   |  3.058    |  0.6977   |  7.256    |  5.109    |  31.48    |  114.2    |
|  85       |  0.9932   |  0.9155   |  5.553    |  0.732    |  7.955    |  2.916    |  77.82    |  100.9    |
|  86       |  0.9934   |  0.6174   |  1.748    |  0.5678   |  0.3286   |  0.6663   |  74.6     |  97.15    |
|  87       |  0.9892   |  0.4682   |  6.797    |  0.4688   |  0.1091   |  1.927    |  82.87    |  89.33    |
|  88       |  0.9931   |  0.5597   |  2.765    |  0.661    |  5.693    |  0.7879   |  78.02    |  96.52    |
|  89       |  0.9941   |  0.5557   |  1.167    |  0.85     |  0.1041   |  2.734    |  81.73    |  95.76    |
|  90       |  0.994    |  0.5527   |  2.74     |  0.9891   |  5.712    |  1e-08    |  24.64    |  47.34    |
|  91       |  0.9889   |  0.4503   |  5.799    |  0.4965   |  5.948    |  3.192    |  27.35    |  166.1    |
|  92       |  0.9934   |  0.9989   |  4.017    |  0.7327   |  0.8933   |  1.418    |  81.6     |  98.6     |
|  93       |  0.9931   |  0.4321   |  2.457    |  0.6244   |  5.083    |  3.084    |  32.09    |  175.9    |
|  94       |  0.9933   |  0.9013   |  1.619    |  0.6112   |  7.612    |  3.618    |  25.93    |  46.61    |
|  95       |  0.994    |  0.8911   |  3.735    |  0.9281   |  4.789    |  4.498    |  17.25    |  13.05    |
|  96       |  0.9941   |  0.8959   |  5.507    |  0.8172   |  0.7707   |  7.261    |  31.49    |  174.3    |
|  97       |  0.9938   |  0.4129   |  2.28     |  0.9159   |  0.3772   |  5.011    |  13.06    |  10.68    |
|  98       |  0.9931   |  0.5978   |  5.888    |  0.6619   |  0.7794   |  0.4489   |  18.58    |  14.09    |
|  99       |  0.9933   |  0.8337   |  6.968    |  0.6234   |  4.687    |  7.141    |  35.48    |  172.9    |
|  100      |  0.9934   |  0.6167   |  5.714    |  0.6826   |  0.1816   |  1.892    |  25.57    |  49.49    |
|  101      |  0.9934   |  0.7613   |  1.529    |  0.7195   |  1.764    |  7.005    |  32.6     |  171.9    |
|  102      |  0.9932   |  0.6086   |  3.085    |  0.7216   |  1.926    |  6.213    |  77.5     |  97.85    |
|  103      |  0.994    |  0.8051   |  2.013    |  0.8496   |  1.612    |  7.107    |  8.248    |  12.67    |
|  104      |  0.9937   |  0.5646   |  3.443    |  0.9188   |  7.136    |  7.206    |  12.33    |  11.74    |
|  105      |  0.9891   |  0.9217   |  5.962    |  0.4673   |  8.151    |  5.585    |  15.52    |  18.08    |
|  106      |  0.9893   |  0.6343   |  1.082    |  0.4061   |  2.872    |  8.837    |  16.18    |  11.75    |
|  107      |  0.9928   |  0.7812   |  3.5      |  0.6186   |  0.4678   |  2.451    |  6.653    |  9.752    |
|  108      |  0.994    |  0.9418   |  4.627    |  0.8391   |  7.067    |  0.8014   |  27.99    |  49.19    |
|  109      |  0.994    |  0.7902   |  2.326    |  0.8326   |  1.434    |  4.665    |  10.41    |  14.53    |
|  110      |  0.9941   |  0.472    |  1.911    |  0.7675   |  1.531    |  0.3242   |  25.76    |  45.53    |
|  111      |  0.9942   |  0.9834   |  4.268    |  0.923    |  0.05423  |  2.109    |  29.59    |  172.8    |
|  112      |  0.9927   |  0.7633   |  3.874    |  0.6819   |  5.644    |  0.6199   |  19.84    |  10.14    |
|  113      |  0.9939   |  0.5736   |  1.729    |  0.8866   |  2.983    |  0.1527   |  14.02    |  11.23    |
|  114      |  0.9942   |  0.6974   |  6.607    |  0.8266   |  1.048    |  0.08191  |  29.66    |  44.64    |
|  115      |  0.994    |  0.6947   |  6.771    |  0.8627   |  4.458    |  9.44     |  29.56    |  175.5    |
|  116      |  0.994    |  0.7436   |  6.496    |  0.8933   |  2.116    |  9.127    |  32.53    |  179.0    |
|  117      |  0.994    |  0.6658   |  1.42     |  0.7988   |  5.383    |  4.152    |  8.593    |  103.7    |
|  118      |  0.9932   |  0.9629   |  2.681    |  0.5076   |  8.708    |  4.339    |  13.4     |  106.3    |
|  119      |  0.9939   |  0.6003   |  5.892    |  0.8184   |  5.379    |  7.951    |  9.843    |  105.0    |
|  120      |  0.994    |  0.4238   |  3.245    |  0.878    |  2.072    |  8.157    |  8.686    |  101.1    |
|  121      |  0.994    |  0.7966   |  5.988    |  0.9979   |  5.757    |  7.288    |  7.67     |  99.03    |
|  122      |  0.994    |  0.4214   |  4.992    |  0.9803   |  0.9151   |  4.327    |  8.656    |  106.4    |
|  123      |  0.994    |  0.4001   |  6.363    |  0.7999   |  3.106    |  2.269    |  12.62    |  99.32    |
|  124      |  0.994    |  0.537    |  3.146    |  0.9004   |  1.622    |  7.121    |  12.11    |  97.11    |
|  125      |  0.9892   |  0.9516   |  5.522    |  0.4024   |  2.563    |  2.973    |  6.352    |  100.5    |
|  126      |  0.9933   |  0.5086   |  5.862    |  0.7437   |  1.962    |  7.167    |  14.55    |  101.0    |
|  127      |  0.9891   |  0.6881   |  2.811    |  0.4535   |  1.483    |  7.73     |  10.74    |  105.4    |
|  128      |  0.9932   |  0.9673   |  4.919    |  0.6634   |  6.551    |  7.829    |  10.01    |  96.87    |
|  129      |  0.994    |  0.4513   |  1.973    |  0.7505   |  1.37     |  2.267    |  12.46    |  13.14    |
|  130      |  0.994    |  0.6308   |  5.544    |  0.8068   |  3.068    |  2.776    |  25.7     |  44.75    |
|  131      |  0.9939   |  0.4      |  1.166    |  1.0      |  4.073    |  3.772    |  10.31    |  11.76    |
|  132      |  0.9939   |  0.5182   |  5.218    |  0.7824   |  7.309    |  5.273    |  10.07    |  104.1    |
|  133      |  0.994    |  0.8913   |  4.042    |  0.8177   |  6.817    |  8.383    |  9.122    |  101.5    |
|  134      |  0.9941   |  0.8501   |  6.902    |  0.886    |  1.974    |  3.335    |  32.11    |  172.9    |
|  135      |  0.989    |  0.6693   |  5.451    |  0.4231   |  2.437    |  3.679    |  29.87    |  175.0    |
|  136      |  0.9934   |  0.7815   |  2.676    |  0.5222   |  3.726    |  1.287    |  28.32    |  44.87    |
|  137      |  0.994    |  0.7267   |  5.382    |  0.8662   |  4.914    |  0.6721   |  26.29    |  49.1     |
|  138      |  0.989    |  0.4881   |  2.62     |  0.4939   |  2.185    |  2.274    |  78.19    |  94.84    |
|  139      |  0.9889   |  0.6266   |  6.5      |  0.499    |  2.994    |  3.304    |  27.51    |  45.66    |
|  140      |  0.9941   |  0.8037   |  5.66     |  0.8697   |  0.4473   |  4.78     |  8.11     |  106.2    |
|  141      |  0.9933   |  0.5081   |  5.975    |  0.6747   |  2.057    |  2.948    |  33.1     |  172.9    |
|  142      |  0.9929   |  0.8948   |  2.273    |  0.6601   |  2.991    |  0.1746   |  12.66    |  11.33    |
|  143      |  0.9933   |  0.8049   |  3.953    |  0.5364   |  6.12     |  1.054    |  27.24    |  50.01    |
|  144      |  0.9933   |  0.6222   |  1.577    |  0.6794   |  1.32     |  1.08     |  82.32    |  94.31    |
|  145      |  0.9941   |  0.8783   |  3.283    |  0.806    |  1.182    |  6.139    |  11.5     |  14.58    |
|  146      |  0.9939   |  0.4098   |  5.466    |  0.8548   |  5.744    |  0.9279   |  27.66    |  49.5     |
|  147      |  0.9939   |  0.4361   |  3.914    |  0.8231   |  4.949    |  8.093    |  8.83     |  101.4    |
|  148      |  0.9933   |  0.8461   |  5.005    |  0.5482   |  5.2      |  8.991    |  9.519    |  103.8    |
|  149      |  0.994    |  0.6494   |  6.075    |  0.8819   |  6.472    |  0.5388   |  25.43    |  48.3     |
|  150      |  0.9932   |  0.7316   |  5.603    |  0.7419   |  5.884    |  2.559    |  26.57    |  48.09    |
|  151      |  0.994    |  0.5989   |  4.045    |  0.9858   |  2.87     |  1.695    |  25.1     |  44.64    |
|  152      |  0.994    |  0.9116   |  1.494    |  0.8363   |  1.325    |  5.768    |  12.2     |  14.24    |
|  153      |  0.9931   |  0.5255   |  3.338    |  0.509    |  2.692    |  7.146    |  11.12    |  14.96    |
|  154      |  0.9932   |  0.7403   |  4.049    |  0.7      |  6.106    |  6.701    |  10.71    |  100.5    |
|  155      |  0.994    |  0.5536   |  3.158    |  0.9451   |  1.818    |  3.703    |  13.05    |  12.95    |
|  156      |  0.9933   |  0.9179   |  4.052    |  0.6196   |  4.982    |  0.7424   |  24.67    |  45.44    |
|  157      |  0.9895   |  0.8715   |  1.249    |  0.4799   |  2.008    |  5.127    |  11.09    |  11.98    |
|  158      |  0.9933   |  0.4856   |  1.897    |  0.737    |  1.977    |  1.42     |  33.56    |  42.74    |
|  159      |  0.994    |  0.5338   |  3.792    |  0.8082   |  3.628    |  7.428    |  8.236    |  99.4     |
|  160      |  0.994    |  0.4855   |  2.904    |  0.905    |  0.4896   |  4.775    |  11.41    |  16.6     |
|  161      |  0.994    |  0.7542   |  4.852    |  0.8822   |  4.401    |  2.548    |  24.17    |  45.48    |
|  162      |  0.9941   |  0.6941   |  4.026    |  0.8596   |  1.852    |  2.269    |  24.78    |  46.86    |
|  163      |  0.9931   |  0.6399   |  2.222    |  0.7286   |  0.8208   |  6.887    |  14.19    |  15.41    |
|  164      |  0.9941   |  0.629    |  3.257    |  0.7942   |  0.6826   |  3.826    |  9.529    |  15.2     |
|  165      |  0.9933   |  0.7987   |  5.741    |  0.6085   |  4.38     |  8.151    |  8.416    |  100.6    |
|  166      |  0.9933   |  0.7669   |  3.246    |  0.6652   |  3.953    |  0.7104   |  30.33    |  42.21    |
|  167      |  0.9938   |  0.4245   |  2.863    |  0.9226   |  5.875    |  8.664    |  8.576    |  99.68    |
|  168      |  0.9939   |  0.4184   |  3.298    |  0.9133   |  4.539    |  2.472    |  26.14    |  45.53    |
|  169      |  0.9932   |  0.5162   |  4.869    |  0.7113   |  1.702    |  3.163    |  11.46    |  16.11    |
|  170      |  0.9894   |  0.5772   |  2.958    |  0.4421   |  0.088    |  3.526    |  11.17    |  14.03    |
|  171      |  0.9891   |  0.4691   |  2.594    |  0.4477   |  1.576    |  4.392    |  12.78    |  15.68    |
|  172      |  0.994    |  0.9571   |  4.54     |  0.8668   |  6.115    |  9.609    |  9.681    |  102.0    |
|  173      |  0.9941   |  0.7449   |  2.484    |  0.778    |  2.662    |  1.518    |  29.7     |  47.27    |
|  174      |  0.9934   |  0.8772   |  2.773    |  0.5572   |  2.794    |  9.223    |  8.954    |  100.9    |
|  175      |  0.9933   |  0.6924   |  4.257    |  0.6842   |  5.685    |  2.037    |  25.29    |  46.03    |
|  176      |  0.994    |  0.6067   |  1.769    |  0.9489   |  1.464    |  3.942    |  10.02    |  16.42    |
|  177      |  0.9933   |  0.5963   |  3.359    |  0.5336   |  3.53     |  8.821    |  8.821    |  99.22    |
|  178      |  0.9941   |  0.9674   |  3.188    |  0.9812   |  5.025    |  0.8387   |  25.8     |  47.95    |
|  179      |  0.994    |  0.7073   |  4.227    |  0.9185   |  3.518    |  3.658    |  24.4     |  45.59    |
|  180      |  0.994    |  0.4059   |  4.104    |  0.929    |  3.284    |  0.1169   |  24.81    |  46.47    |
|  181      |  0.9931   |  0.5549   |  3.057    |  0.6289   |  0.4299   |  4.49     |  7.461    |  15.62    |
|  182      |  0.9941   |  0.7721   |  2.438    |  0.9677   |  1.572    |  3.074    |  9.442    |  17.78    |
|  183      |  0.9934   |  0.5322   |  2.219    |  0.5302   |  1.295    |  1.013    |  27.65    |  46.9     |
|  184      |  0.9933   |  0.428    |  2.824    |  0.6856   |  3.662    |  1.621    |  28.27    |  47.29    |
|  185      |  0.9933   |  0.6074   |  3.017    |  0.5029   |  4.193    |  0.5344   |  25.81    |  45.36    |
|  186      |  0.993    |  0.4387   |  4.823    |  0.6813   |  1.993    |  6.543    |  12.45    |  13.25    |
|  187      |  0.994    |  0.5529   |  2.544    |  0.9009   |  2.26     |  1.99     |  25.98    |  47.52    |
|  188      |  0.9932   |  0.622    |  6.624    |  0.5379   |  7.571    |  0.8379   |  26.08    |  50.0     |
|  189      |  0.9889   |  0.4405   |  4.652    |  0.4469   |  3.69     |  1.983    |  22.33    |  46.03    |
|  190      |  0.9933   |  0.4457   |  1.683    |  0.6477   |  1.654    |  2.828    |  25.87    |  44.87    |
|  191      |  0.9935   |  0.5345   |  2.635    |  0.5313   |  1.24     |  0.4313   |  25.78    |  47.21    |
|  192      |  0.989    |  0.6217   |  4.143    |  0.4043   |  5.531    |  1.279    |  25.51    |  48.49    |
|  193      |  0.989    |  0.6578   |  4.156    |  0.4344   |  7.435    |  3.692    |  9.316    |  79.46    |
|  194      |  0.994    |  0.9753   |  4.204    |  0.7978   |  5.126    |  1.627    |  73.23    |  175.0    |
|  195      |  0.989    |  0.9059   |  2.932    |  0.4093   |  4.15     |  2.813    |  44.14    |  209.5    |
|  196      |  0.9932   |  0.7901   |  4.683    |  0.6897   |  8.1      |  6.702    |  13.26    |  43.64    |
|  197      |  0.9889   |  0.5097   |  3.768    |  0.4657   |  7.604    |  3.539    |  41.26    |  47.09    |
|  198      |  0.9891   |  0.8741   |  1.195    |  0.4369   |  4.819    |  4.734    |  9.137    |  104.5    |
|  199      |  0.994    |  0.7653   |  3.449    |  0.7691   |  2.813    |  8.761    |  9.085    |  99.88    |
|  200      |  0.9933   |  0.423    |  3.454    |  0.6241   |  1.222    |  0.03297  |  54.73    |  28.91    |
|  201      |  0.9932   |  0.5346   |  3.735    |  0.5534   |  3.363    |  6.936    |  50.4     |  213.9    |
|  202      |  0.9931   |  0.4116   |  5.657    |  0.7192   |  0.7769   |  0.5936   |  19.43    |  14.3     |
|  203      |  0.989    |  0.8339   |  6.209    |  0.4401   |  3.453    |  1.433    |  25.88    |  110.0    |
|  204      |  0.9934   |  0.9373   |  2.508    |  0.5063   |  2.64     |  0.1759   |  74.19    |  62.01    |
|  205      |  0.9937   |  0.4715   |  1.882    |  0.7811   |  8.863    |  6.915    |  31.64    |  60.17    |
|  206      |  0.9939   |  0.5541   |  5.935    |  0.8464   |  3.444    |  8.207    |  17.14    |  22.71    |
|  207      |  0.9932   |  0.4296   |  3.981    |  0.6935   |  1.677    |  6.429    |  45.05    |  100.8    |
|  208      |  0.9938   |  0.4735   |  4.979    |  0.7729   |  8.964    |  4.223    |  6.088    |  82.43    |
|  209      |  0.9941   |  0.8208   |  5.919    |  0.9517   |  0.9415   |  6.532    |  27.62    |  171.7    |
|  210      |  0.9941   |  0.5766   |  1.987    |  0.7734   |  0.06354  |  8.228    |  6.528    |  249.7    |
|  211      |  0.9939   |  0.564    |  6.991    |  0.9459   |  8.776    |  1.825    |  11.83    |  213.2    |
|  212      |  0.9937   |  0.5748   |  4.991    |  0.9521   |  8.302    |  9.924    |  71.22    |  157.3    |
|  213      |  0.9937   |  0.4906   |  1.567    |  0.7931   |  9.128    |  8.505    |  30.66    |  248.6    |
|  214      |  0.9938   |  0.5969   |  2.256    |  0.9838   |  8.463    |  8.9      |  32.05    |  22.0     |
|  215      |  0.994    |  0.7638   |  3.834    |  0.9559   |  8.341    |  0.865    |  19.74    |  136.1    |
|  216      |  0.9929   |  0.4046   |  5.159    |  0.5596   |  7.312    |  9.157    |  84.74    |  85.84    |
|  217      |  0.9932   |  0.8248   |  4.505    |  0.6817   |  9.403    |  9.268    |  18.84    |  247.8    |
|  218      |  0.993    |  0.5618   |  1.088    |  0.7354   |  7.464    |  3.068    |  76.41    |  68.19    |
|  219      |  0.9933   |  0.8548   |  4.242    |  0.6487   |  6.692    |  1.169    |  35.41    |  221.2    |
|  220      |  0.9889   |  0.6323   |  4.586    |  0.4919   |  4.098    |  4.783    |  56.84    |  195.0    |
|  221      |  0.993    |  0.4626   |  2.391    |  0.5676   |  8.708    |  2.147    |  69.92    |  50.59    |
|  222      |  0.9941   |  0.7292   |  5.205    |  0.968    |  0.7533   |  1.654    |  97.27    |  56.03    |
|  223      |  0.9933   |  0.9961   |  6.374    |  0.7317   |  2.676    |  5.023    |  85.91    |  101.5    |
|  224      |  0.9931   |  0.7946   |  3.166    |  0.5537   |  9.83     |  7.21     |  56.03    |  251.9    |
|  225      |  0.9931   |  0.5695   |  3.237    |  0.6509   |  6.953    |  0.6088   |  98.06    |  39.59    |
|  226      |  0.9938   |  0.5732   |  1.524    |  0.9824   |  7.289    |  9.797    |  46.2     |  33.69    |
|  227      |  0.994    |  0.4904   |  6.339    |  0.9389   |  2.74     |  0.8655   |  75.35    |  24.03    |
|  228      |  0.9938   |  0.6412   |  4.967    |  0.8906   |  9.501    |  3.936    |  59.63    |  207.7    |
|  229      |  0.994    |  0.6821   |  1.038    |  0.7585   |  4.306    |  6.356    |  25.05    |  137.7    |
|  230      |  0.989    |  0.6282   |  6.158    |  0.4194   |  7.917    |  0.5111   |  97.36    |  154.7    |
|  231      |  0.994    |  0.6107   |  5.677    |  0.9293   |  0.9963   |  3.0      |  82.81    |  89.92    |
|  232      |  0.9933   |  0.9232   |  3.452    |  0.7256   |  7.098    |  4.696    |  18.95    |  154.8    |
|  233      |  0.9933   |  0.9214   |  3.41     |  0.6372   |  3.885    |  5.407    |  82.76    |  173.9    |
|  234      |  0.994    |  0.9398   |  6.963    |  0.9017   |  6.066    |  5.236    |  39.3     |  67.11    |
|  235      |  0.994    |  0.927    |  3.255    |  0.9187   |  3.59     |  8.979    |  6.453    |  240.1    |
|  236      |  0.9933   |  0.9255   |  2.074    |  0.6912   |  3.926    |  5.331    |  56.05    |  117.2    |
|  237      |  0.9938   |  0.5315   |  3.953    |  0.7699   |  7.361    |  6.606    |  31.74    |  199.1    |
|  238      |  0.9889   |  0.7526   |  1.146    |  0.4125   |  7.702    |  8.09     |  83.62    |  140.1    |
|  239      |  0.9931   |  0.4388   |  2.483    |  0.9942   |  0.2828   |  1.72     |  55.64    |  6.422    |
|  240      |  0.989    |  0.909    |  5.689    |  0.4566   |  5.685    |  2.211    |  56.27    |  230.4    |
|  241      |  0.994    |  0.9307   |  5.784    |  0.8867   |  4.858    |  4.589    |  37.98    |  182.3    |
|  242      |  0.9939   |  0.6282   |  4.163    |  0.7538   |  7.74     |  1.862    |  12.35    |  236.9    |
|  243      |  0.9912   |  0.5996   |  5.98     |  0.8591   |  1.12     |  9.21     |  13.99    |  4.089    |
