HYPERPARAMETERS OF EACH ITERATION:
|   iter    |  target   | baggin... | baggin... | featur... | lambda_l1 | lambda_l2 | min_ch... | num_le... |
|  55       |  0.9994   |  0.7336   |  6.422    |  0.7971   |  2.305    |  9.661    |  42.63    |  9.026    |
|  56       |  0.9995   |  0.8855   |  2.156    |  0.9105   |  6.51     |  6.631    |  9.864    |  108.4    |
|  57       |  0.9994   |  0.8258   |  4.789    |  0.8811   |  6.739    |  8.448    |  25.48    |  245.8    |
|  58       |  0.9994   |  0.4715   |  6.702    |  0.981    |  9.533    |  9.249    |  27.46    |  109.0    |
|  59       |  0.9995   |  0.9858   |  5.199    |  0.9417   |  4.447    |  4.08     |  27.84    |  47.48    |
|  60       |  0.9994   |  0.657    |  2.964    |  0.7105   |  9.814    |  0.1684   |  89.61    |  133.9    |
|  61       |  0.9993   |  0.4039   |  3.898    |  0.5745   |  5.863    |  5.109    |  20.17    |  247.5    |
|  62       |  0.9995   |  0.8666   |  5.286    |  0.7591   |  0.26     |  4.421    |  59.09    |  173.6    |
|  63       |  0.9993   |  0.6024   |  6.795    |  0.4568   |  4.716    |  9.729    |  60.35    |  200.8    |
|  64       |  0.9994   |  0.4037   |  5.035    |  0.7843   |  9.37     |  7.269    |  21.63    |  228.7    |
|  65       |  0.9994   |  0.8478   |  3.031    |  0.672    |  6.56     |  6.258    |  24.49    |  191.8    |
|  66       |  0.9994   |  0.9631   |  5.744    |  0.5525   |  6.951    |  2.209    |  66.61    |  189.1    |
|  67       |  0.9995   |  0.8038   |  3.981    |  0.7321   |  2.695    |  4.208    |  28.27    |  253.8    |
|  68       |  0.999    |  0.7193   |  5.477    |  0.7086   |  4.519    |  5.651    |  43.62    |  4.763    |
|  69       |  0.9994   |  0.9028   |  4.556    |  0.6244   |  2.785    |  9.861    |  44.68    |  193.5    |
|  70       |  0.9994   |  0.5974   |  5.341    |  0.6057   |  6.094    |  7.423    |  7.175    |  52.08    |
|  71       |  0.9994   |  0.5938   |  2.838    |  0.4786   |  1.914    |  1.156    |  84.14    |  91.28    |
|  72       |  0.9994   |  0.7555   |  2.311    |  0.6047   |  3.679    |  4.45     |  99.59    |  149.0    |
|  73       |  0.9993   |  0.4376   |  6.907    |  0.5385   |  0.7324   |  9.91     |  88.39    |  226.9    |
|  74       |  0.9994   |  0.7457   |  4.157    |  0.6885   |  0.1144   |  4.844    |  52.86    |  9.54     |
|  75       |  0.9994   |  0.8833   |  6.937    |  0.5139   |  1.558    |  3.118    |  43.75    |  103.8    |
|  76       |  0.9994   |  0.9604   |  5.131    |  0.7993   |  8.562    |  3.273    |  5.17     |  166.4    |
|  77       |  0.9994   |  0.5342   |  3.496    |  0.8117   |  4.72     |  5.384    |  22.96    |  202.0    |
|  78       |  0.9995   |  0.7168   |  5.875    |  0.9459   |  2.507    |  7.593    |  89.74    |  44.44    |
|  79       |  0.9994   |  0.6892   |  6.878    |  0.8443   |  7.391    |  9.329    |  50.41    |  215.1    |
